slate,config,player,market,line,odds,src,prev_line,mv,drift,tip,logged_utc,result,actual
2026-08-15,MODEL_S,Dearica Hamby,pr,20.5,1.73,flip,20.5,0.0,0.0000,,2026-08-15T23:04:30Z,loss,18.0
2026-08-15,MODEL_S,NaLyssa Smith,pr,17.5,1.87,flip,17.5,0.0,0.0219,,2026-08-15T23:04:30Z,WIN,29.0
2026-08-15,S_drift,Dearica Hamby,pr,20.5,1.73,flip,20.5,0.0,0.0000,,2026-08-15T23:04:30Z,loss,18.0
2026-08-15,S_drift,Shakira Austin,pra,33.5,2.0,overshoot,29.5,4.0,0.0000,,2026-08-15T23:04:30Z,loss,30.0
2026-08-15,S_filterx,Dearica Hamby,pr,20.5,1.73,flip,20.5,0.0,0.0000,,2026-08-15T23:04:30Z,loss,18.0
2026-08-15,S_nostar,Dearica Hamby,pr,20.5,1.73,flip,20.5,0.0,0.0000,,2026-08-15T23:04:30Z,loss,18.0
2026-08-15,S_nostar,NaLyssa Smith,pr,17.5,1.87,flip,17.5,0.0,0.0219,,2026-08-15T23:04:30Z,WIN,29.0
2026-08-15,S_nostar,Shakira Austin,pra,33.5,2.0,overshoot,29.5,4.0,0.0000,,2026-08-15T23:04:30Z,loss,30.0
2026-08-15,S_prev,Dearica Hamby,pr,20.5,1.73,flip,20.5,0.0,0.0000,,2026-08-15T23:04:30Z,loss,18.0
2026-08-15,S_prev,NaLyssa Smith,pr,17.5,1.87,flip,17.5,0.0,0.0219,,2026-08-15T23:04:30Z,WIN,29.0
2026-08-15,S_raised,Shakira Austin,pra,33.5,2.0,overshoot,29.5,4.0,0.0000,,2026-08-15T23:04:30Z,loss,30.0
2026-08-15,S_loose,Dearica Hamby,pr,20.5,1.73,flip,20.5,0.0,0.0000,,2026-08-15T23:04:30Z,loss,18.0
2026-08-15,S_loose,NaLyssa Smith,pr,17.5,1.87,flip,17.5,0.0,0.0219,,2026-08-15T23:04:30Z,WIN,29.0
2026-08-15,OLD_MENU,Dearica Hamby,pr,20.5,1.73,flip,20.5,0.0,0.0000,,2026-08-15T23:04:30Z,loss,18.0
2026-08-15,OLD_MENU,Erica Wheeler,pa,14.5,1.8,flip,15.5,-1.0,0.0000,,2026-08-15T23:04:30Z,loss,8.0
2026-08-15,OLD_MENU,NaLyssa Smith,pr,17.5,1.87,flip,17.5,0.0,0.0219,,2026-08-15T23:04:30Z,WIN,29.0
2026-08-15,OLD_MENU,Jackie Young,pts,18.5,1.8,flip_paper,19.5,-1.0,0.0227,,2026-08-15T23:04:30Z,loss,8.0
2026-08-15,OLD_MENU,Olivia Miles,pts,19.5,1.69,flip_paper,19.5,0.0,-0.1333,,2026-08-15T23:04:30Z,WIN,23.0
2026-08-15,OLD_MENU,Rae Burrell,pra,20.5,1.87,cascade,21.5,-1.0,0.0000,,2026-08-15T23:04:30Z,WIN,26.0
2026-08-15,OLD_MENU,Dearica Hamby,pra,23.5,1.91,cascade,24.5,-1.0,0.0437,,2026-08-15T23:04:30Z,loss,21.0
2026-08-15,OLD_MENU,Cameron Brink,pra,14.5,1.91,cascade,17.5,-3.0,0.1040,,2026-08-15T23:04:30Z,,
2026-08-15,OLD_MENU,Kayla Mcbride,pa,16.5,1.73,overshoot,17.5,-1.0,0.0000,,2026-08-15T23:04:30Z,loss,14.0
2026-08-15,OLD_MENU,Shakira Austin,pra,33.5,2.0,overshoot,29.5,4.0,0.0000,,2026-08-15T23:04:30Z,loss,30.0
2026-08-16,MODEL_S,Megan Dileo,pr,18.5,1.87,overshoot,18.5,0.0,-0.0420,,2026-08-16T22:59:54Z,WIN,20.0
